name,red,green,blue,alpha,id
Unknown,173,136,244,255,0
Wall,55,170,186,255,1
Floor,197,147,49,255,2
Ceiling,156,162,49,255,3
Door,246,107,171,255,4
Stairs,56,167,205,255,5
Structure,130,168,49,255,6
Shelf,177,155,49,255,7
Plant,54,171,171,255,8
Bed,246,112,136,255,9
Storage,52,175,137,255,10
Table,53,173,156,255,11
Chair,128,150,244,255,12
Wall_Decoration,211,117,244,255,13
Couch,222,135,49,255,14
Light,245,102,201,255,15
Appliance,247,117,83,255,16
Thing,79,176,49,255,17
Deformable,50,177,107,255,18
Dynamic_NonHuman,244,93,235,255,19
Human,59,163,236,255,20
