name,red,green,blue,alpha,id
void,0,0,0,255,1
wall,0,102,51,255,2
floor,191,191,181,255,3
chair,171,157,49,255,4
door,246,112,136,255,5
table,199,124,244,255,6
picture,55,169,192,255,7
cabinet,124,169,49,255,8
cushion,195,148,49,255,9
window,56,167,204,255,10
sofa,50,176,108,255,11
bed,247,115,108,255,12
curtain,53,172,164,255,13
chest_of_drawers,245,103,196,255,14
plant,58,165,221,255,15
sink,64,161,244,255,16
stairs,246,109,159,255,17
ceiling,204,0,102,255,18
toilet,51,175,129,255,19
stool,245,98,216,255,20
towel,227,132,49,255,21
mirror,54,170,182,255,22
tv_monitor,246,106,178,255,23
shower,209,141,49,255,24
column,244,92,238,255,25
bathtub,183,153,49,255,26
counter,54,171,173,255,27
fireplace,94,174,49,255,28
lighting,223,109,244,255,29
railing,143,165,49,255,30
shelving,150,144,244,255,31
blinds,49,178,69,255,32
seating,52,174,143,255,33
board_panel,53,173,154,255,34
furniture,158,161,49,255,35
appliances,247,118,59,255,36
clothes,176,135,244,255,37
objects,118,153,244,255,38
misc,51,51,51,255,39
