name,red,green,blue,alpha,id
Unknown,16,81,251,255,0
Wall,0,102,51,255,1
Floor,191,191,181,255,2
Ceiling,178,0,178,255,3
Door,255,178,0,255,4
Stairs,255,127,127,255,5
Structure,127,255,255,255,6
Shelf,20,8,136,255,7
Plant,103,12,55,255,8
Bed,54,252,6,255,9
Storage,36,192,142,255,10
Table,204,0,102,255,11
Chair,124,103,182,255,12
Wall_Decoration,181,254,45,255,13
Couch,204,0,0,255,14
Light,243,92,251,255,15
Appliance,0,255,255,255,16
Thing,78,165,2,255,17
Deformable,78,4,245,255,18
Dynamic_NonHuman,151,107,45,255,19
Human,39,170,247,255,20
