name,red,green,blue,alpha,id
wall,0,102,51,255,1
floor,191,191,181,255,2
ceiling,204,0,102,255,3
bed,54,171,175,255,4
cabinet,246,112,136,255,5
door,245,98,214,255,6
chair,98,156,244,255,7
shelf,160,161,49,255,8
mirror,176,155,49,255,9
table,140,166,49,255,10
wardrobe,50,176,110,255,11
bathtub,243,91,244,255,12
railing,179,133,244,255,13
drawers,192,149,49,255,14
kitchen counter,235,127,49,255,15
sink,210,117,244,255,16
refrigerator,211,141,49,255,17
stairs,58,164,225,255,18
cushion,51,175,135,255,19
pool table,146,145,244,255,20
toilet,49,179,50,255,21
stove,246,108,165,255,22
computer,55,170,188,255,23
television,56,168,203,255,24
washing machine,112,172,49,255,25
microwave,247,116,97,255,26
dishwasher,53,172,164,255,27
misc,245,104,189,255,28
stuff,52,173,151,255,29
ignored,51,51,51,255,30
