name,red,green,blue,alpha,id
void,0,0,0,255,0
wall,31,119,180,255,1
floor,174,199,232,255,2
chair,255,127,14,255,3
door,255,187,120,255,4
table,44,160,44,255,5
picture,152,223,138,255,6
cabinet,214,39,40,255,7
cushion,255,152,150,255,8
window,148,103,189,255,9
sofa,197,176,213,255,10
bed,140,86,75,255,11
curtain,196,156,148,255,12
chest_of_drawers,227,119,194,255,13
plant,247,182,210,255,14
sink,127,127,127,255,15
stairs,199,199,199,255,16
ceiling,188,189,34,255,17
toilet,219,219,141,255,18
stool,23,190,207,255,19
towel,158,218,229,255,20
mirror,57,59,121,255,21
tv_monitor,82,84,163,255,22
shower,107,110,207,255,23
column,156,158,222,255,24
bathtub,99,121,57,255,25
counter,140,162,82,255,26
fireplace,181,207,107,255,27
lighting,206,219,156,255,28
beam,140,109,49,255,29
railing,189,158,57,255,30
shelving,231,186,82,255,31
blinds,231,203,148,255,32
gym_equipment,132,60,57,255,33
seating,173,73,74,255,34
board_panel,214,97,107,255,35
furniture,231,150,156,255,36
appliances,123,65,115,255,37
clothes,165,81,148,255,38
objects,206,109,189,255,39
misc,222,158,214,255,40
