name,red,green,blue,alpha,id
void,0,0,0,255,0
wall,0,102,51,255,1
floor,191,191,181,255,2
chair,248,233,46,255,3
door,0,0,255,255,4
table,111,176,248,255,5
picture,247,145,245,255,6
cabinet,13,199,8,255,7
cushion,36,132,205,255,8
window,55,212,198,255,9
sofa,127,255,255,255,10
bed,0,255,255,255,11
curtain,148,238,105,255,12
chest_of_drawers,242,247,160,255,13
plant,118,108,162,255,14
sink,106,2,93,255,15
stairs,151,39,155,255,16
ceiling,204,0,102,255,17
toilet,62,40,162,255,18
stool,0,101,139,255,19
towel,255,127,0,255,20
mirror,149,83,15,255,21
tv_monitor,68,133,4,255,22
shower,251,65,253,255,23
column,0,0,127,255,24
bathtub,24,253,114,255,25
counter,18,169,105,255,26
fireplace,150,112,253,255,27
lighting,188,190,6,255,28
railing,138,151,63,255,29
shelving,239,166,99,255,30
blinds,207,99,140,255,31
seating,249,39,6,255,32
board_panel,127,0,0,255,33
furniture,143,2,233,255,34
appliances,127,255,0,255,35
clothes,75,49,249,255,36
objects,252,21,175,255,37
misc,51,51,51,255,38
